,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
3845,Limington,ME,,,,0.591,0.372,2298.0,,,,,,,,,,,,
3846,Lincoln,MA,,,,0.16,0.817,4131.0,,,,,,,,,,,,
3847,Lincoln,NH,,,,0.43,0.556,923.0,,,,,,,,,,,,
3848,Lincoln,RI,,,,0.459,0.526,12596.0,,,,,,,,,,,,
3849,Lincoln,VT,,,,0.22,0.754,959.0,,,,,,,,,,,,
3850,Lincoln Plt.,ME,,,,,,0.0,,,,,,,,,,,,
3851,Lincolnville,ME,,,,0.332,0.641,1651.0,,,,,,,,,,,,
3852,Linneus,ME,,,,0.809,0.183,508.0,,,,,,,,,,,,
3853,Lisbon,CT,,,,0.535,0.441,2490.0,,,,,,,,,,,,
3854,Lisbon,ME,,,,0.539,0.413,5298.0,,,,,,,,,,,,
3855,Lisbon,NH,,,,0.541,0.443,797.0,,,,,,,,,,,,
3856,Litchfield,ME,,,,0.579,0.39,2177.0,,,,,,,,,,,,
3857,Litchfield,NH,,,,0.522,0.462,5410.0,,,,,,,,,,,,
3858,Little Compton,RI,,,,0.378,0.605,2517.0,,,,,,,,,,,,
3859,Littleton,MA,,,,0.298,0.675,6625.0,,,,,,,,,,,,
3860,Littleton,ME,,,,0.718,0.266,531.0,,,,,,,,,,,,
3861,Littleton,NH,,,,0.484,0.5,3115.0,,,,,,,,,,,,
3862,Livermore,ME,,,,0.577,0.423,1356.0,,,,,,,,,,,,
3863,Livermore Falls,ME,,,,0.581,0.388,1393.0,,,,,,,,,,,,
3864,Londonderry,NH,,,,0.498,0.487,15873.0,,,,,,,,,,,,
3865,Londonderry,VT,,,,0.31,0.665,1118.0,,,,,,,,,,,,
3866,Long Island,ME,,,,0.277,0.696,191.0,,,,,,,,,,,,
3867,Longmeadow,MA,,,,0.335,0.644,10250.0,,,,,,,,,,,,
3868,Loudon,NH,,,,0.578,0.4,3725.0,,,,,,,,,,,,
3869,Lovell,ME,,,,0.461,0.521,766.0,,,,,,,,,,,,
3870,Lowell,MA,,,,0.323,0.655,37366.0,,,,,,,,,,,,
3871,Lowell,ME,,,,0.757,0.22,255.0,,,,,,,,,,,,
3872,Lowell,VT,,,,0.561,0.413,487.0,,,,,,,,,,,,
3873,Lubec,ME,,,,0.46,0.518,883.0,,,,,,,,,,,,
3874,Ludlow,MA,,,,0.501,0.48,11299.0,,,,,,,,,,,,
3875,Ludlow,ME,,,,,,0.0,,,,,,,,,,,,
3876,Ludlow,VT,,,,0.382,0.58,1237.0,,,,,,,,,,,,
3877,Lunenburg,MA,,,,0.411,0.558,7004.0,,,,,,,,,,,,
3878,Lunenburg,VT,,,,0.578,0.384,633.0,,,,,,,,,,,,
3879,Lyman,ME,,,,0.522,0.447,2944.0,,,,,,,,,,,,
3880,Lyman,NH,,,,0.54,0.452,385.0,,,,,,,,,,,,
3881,Lyme,CT,,,,0.325,0.657,1772.0,,,,,,,,,,,,
3882,Lyme,NH,,,,0.167,0.823,1305.0,,,,,,,,,,,,
3883,Lyndeborough,NH,,,,0.475,0.496,1138.0,,,,,,,,,,,,
3884,Lyndon,VT,,,,0.465,0.494,2445.0,,,,,,,,,,,,
3885,Lynn,MA,,,,0.291,0.69,34976.0,,,,,,,,,,,,
3886,Lynnfield,MA,,,,0.477,0.503,8282.0,,,,,,,,,,,,
