county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Seward,KS,22948,11752,11196,59.6,31.6,4.5,0.6,3,0,18.8
Shawnee,KS,178392,86487,91905,12,74.5,7.6,0.6,1.2,0,13.2
Sheridan,KS,2497,1282,1215,4.4,93.8,0.5,1.2,0,0,4.8
Sherman,KS,5999,3009,2990,12,84.8,0.3,0.2,1.9,0,16.5
Smith,KS,3693,1814,1879,1.9,95.1,0.4,0.6,0.2,0,13.3
Stafford,KS,4251,2142,2109,13.3,83.7,0.7,0.1,0.2,0,14.5
Stanton,KS,2107,996,1111,37.4,59.2,0.4,0.3,0,0,10.8
Stevens,KS,5741,2942,2799,35.2,62,0.1,0.3,0.3,0.2,16.8
Sumner,KS,23336,11658,11678,5.3,90,0.9,1,0.4,0,11.8
Thomas,KS,7847,3856,3991,5.5,91.2,1.4,0.8,0.5,0,11.1
Trego,KS,2899,1465,1434,1.2,94.5,0.1,1.3,1.6,0,4.8
Wabaunsee,KS,6918,3492,3426,3.4,93,0.3,0.4,0.5,0,6.1
Wallace,KS,1591,802,789,5.1,93.7,0,0,0,0,10.6
Washington,KS,5572,2846,2726,3.3,94.3,0.3,0.1,0.1,0,9.7
Wichita,KS,2157,1019,1138,27.7,69.6,0.7,0,0.5,0,4.4
Wilson,KS,8858,4362,4496,2.9,92.4,0.5,0.4,0.7,0,16.8
Woodson,KS,3178,1574,1604,0.8,93.1,1.1,0.6,0.7,0,20.6
Wyandotte,KS,163227,80545,82682,28.1,41.6,22.7,0.3,3.9,0.1,21.4
Adair,KY,19304,9632,9672,1.8,93.4,3.6,0.1,0.1,0,21.5
Allen,KY,20628,10227,10401,1.9,95.4,1.9,0,0.2,0,20
Anderson,KY,22017,10639,11378,1.7,94.2,2.4,0,0.7,0,12
Ballard,KY,8152,4077,4075,1.2,93,3.9,0.2,0.4,0,18.2
Barren,KY,43418,21123,22295,3,90.7,3.9,0.2,0.5,0,22.9
Bath,KY,12189,6012,6177,1.5,95.4,1,0.1,0.3,0,24
Bell,KY,27469,13385,14084,0.3,94.5,3.3,0.1,0.2,0,38
Boone,KY,127682,63122,64560,4.1,88.4,3,0.1,2.3,0,7.6
Bourbon,KY,20017,9706,10311,6.7,85.2,7.2,0,0.3,0,16.6
Boyd,KY,48486,24180,24306,1.7,93.3,2.4,0.1,0.3,0,19.3
Boyle,KY,29773,14883,14890,3.2,85.9,7.1,0.2,0.8,0,15.5
Bracken,KY,8330,4186,4144,1.6,96.4,0,0.2,0.5,0,21.4
Breathitt,KY,13276,6675,6601,0.9,97,1,0.2,0.2,0,36
Breckinridge,KY,19991,10028,9963,1.3,94.7,1.7,0.1,0.4,0,17.7
Bullitt,KY,78622,39131,39491,1.8,94.9,0.6,0.2,0.6,0.1,10.2
Butler,KY,12735,6405,6330,3.1,95.1,0.4,0.2,0.1,0,22
Caldwell,KY,12747,5973,6774,1.3,91.1,6.8,0,0,0,17.5
Calloway,KY,38616,18594,20022,2.6,89.7,3.7,0.3,1.8,0.1,22.4
Campbell,KY,91804,45005,46799,1.9,92.4,3.2,0,0.9,0,14.2
Carlisle,KY,4890,2378,2512,2.3,94.4,1.6,0.6,0.2,0,17.3
Carroll,KY,10695,5467,5228,6.6,89.1,2.5,0.1,0.3,0,27.7
Carter,KY,27385,13462,13923,0.9,96.8,0.8,0.4,0.1,0,21.5
Casey,KY,15805,7785,8020,2.8,95,0.6,0.3,0.3,0,26.6
Christian,KY,72438,38426,34012,7.5,66.3,20.4,0.5,1.3,0.3,19.7
Clark,KY,35757,17426,18331,2.7,90.5,5,0.1,0.5,0,15
Clay,KY,20866,11054,9812,2.5,92.6,3.3,0.3,0,0.1,39.5
Clinton,KY,10208,5119,5089,2.8,96.1,0.5,0,0.2,0,20
Crittenden,KY,9154,4627,4527,1,96.4,1.3,0,0,0,17.7
Cumberland,KY,6744,3372,3372,0.4,93,3,0,0.3,0,20.7
Daviess,KY,99258,48300,50958,2.9,88.9,4.4,0.2,1.3,0,15.8
Edmonson,KY,12063,6049,6014,0.9,95.5,1.6,0.3,0.1,0,20
Elliott,KY,7533,4302,3231,0.3,96.1,3.5,0.1,0,0,34.4
Estill,KY,14382,7081,7301,0.3,97.6,0.1,0.4,0,0,30.4
Fayette,KY,315109,154530,160579,7,71.8,14.3,0.2,3.6,0,18.6
Fleming,KY,14515,7155,7360,1.2,96.1,1.7,0,0.1,0,19.5
Floyd,KY,37447,18314,19133,0.7,97.3,0.9,0.1,0.3,0,30.7
Franklin,KY,49969,24502,25467,3,81.9,9.8,0.3,1.8,0,13.1
Fulton,KY,6259,3094,3165,0.7,71.2,24.4,0.1,0.2,0,25.3
Gallatin,KY,8652,4420,4232,5.2,91.3,1.5,0,0.1,0,13.4
Garrard,KY,17226,8442,8784,2.2,94.3,0.9,0.2,0.1,0,18.2
Grant,KY,24800,12266,12534,2.7,93.9,0.9,0.1,0.1,0,21.5
Graves,KY,37259,18276,18983,6.1,87.1,4.5,0.2,0.5,0.2,19.2
Grayson,KY,26129,13079,13050,1.3,95.3,1.3,0.4,0.2,0,25.7
Green,KY,11044,5356,5688,0.6,94.4,3.1,0,0.3,0,19
Greenup,KY,36012,17533,18479,1,96.3,0.8,0.1,0.4,0,16.5
Hancock,KY,8700,4494,4206,1.5,95.8,0.9,0.1,0.6,0,15.7
Hardin,KY,107699,53731,53968,5.6,76.3,11.3,0.2,2,0.3,14.2
Harlan,KY,27548,13323,14225,0.9,95.2,2.6,0.1,0.4,0,35.6
Harrison,KY,18630,9162,9468,2.3,93.8,1.7,0,0,0,16.4
Hart,KY,18531,9138,9393,1.7,91.7,4.3,0.4,0.5,0,23.1
Henderson,KY,46252,22409,23843,2.4,87,7.1,0.1,0.4,0,19.3
Henry,KY,15677,7715,7962,3.2,91.8,3.5,0.3,0.1,0.1,18.2
Hickman,KY,4625,2156,2469,1.3,87.2,8.7,0.3,0.3,0,14.8
Hopkins,KY,45985,22353,23632,1.9,88.8,6.2,0.3,0.5,0,17.2
Jackson,KY,13369,6657,6712,0,99.3,0.1,0,0,0,33
Jefferson,KY,764378,369391,394987,5,68.5,21,0.1,2.7,0,15
Jessamine,KY,51667,25213,26454,3.2,89.6,3.9,0.3,1.4,0,18
Johnson,KY,23064,11314,11750,0.4,97.5,0.5,0.1,1.1,0,24.1
Kenton,KY,163987,81047,82940,3,88.9,4.3,0.1,1.3,0,12.9
Knott,KY,15690,7806,7884,0.9,97.2,0.4,0,0.1,0.1,32.6
Knox,KY,31424,15233,16191,1.1,96,1.2,0.5,0.4,0,34.7
Larue,KY,14102,6976,7126,3.2,91.6,3.6,0,0.3,0,15.8
Laurel,KY,59901,29162,30739,1.5,95.9,0.7,0.5,0.5,0,24.6
Lawrence,KY,15844,7900,7944,0.9,97.2,0.4,0,0.4,0,24.5
Lee,KY,6717,3375,3342,0.8,96.8,1.3,0.3,0.3,0,32.7
Leslie,KY,10648,5325,5323,0.6,97.8,0.1,0,0.4,0,34.5
Letcher,KY,23011,11267,11744,0.7,97.7,0.3,0.2,0.2,0,30.5
Lewis,KY,13565,6748,6817,0.2,97.9,0.4,0.8,0.1,0,26.1
Lincoln,KY,24413,11960,12453,1.6,94.3,2.2,0.2,0,0,23.8
Livingston,KY,9288,4587,4701,1.7,95.8,0.2,0.2,0.2,0,16.2
Logan,KY,26847,13131,13716,2.7,88.8,6.3,0.2,0.1,0,17.4
Lyon,KY,8268,4581,3687,1.2,91,5.3,0.5,0.5,0,14.1
Madison,KY,88376,42976,45400,2.3,89.8,4.3,0.3,0.9,0,19.5
Magoffin,KY,12783,6436,6347,1,99,0,0,0,0,28.6
Marion,KY,19335,9799,9536,2.5,87.7,8.5,0,0.3,0,18.4
Marshall,KY,31177,15319,15858,1.4,96.7,0.6,0.1,0.4,0,10.8
Martin,KY,12175,6744,5431,1.9,92.4,4.7,0.1,0,0.1,29.8
Mason,KY,17167,8429,8738,0.7,89.4,5.8,0,0.7,0,18
McCracken,KY,65285,31169,34116,2.4,83.6,11.1,0.2,0.7,0,17.1
McCreary,KY,17748,9710,8038,3.4,89.7,5.4,0.3,0.2,0,41
McLean,KY,9361,4657,4704,1.3,96.3,0.3,0.2,0.6,0,19.2
Meade,KY,28452,14477,13975,3.8,89.5,3.2,0.8,0.6,0,13.1
Menifee,KY,6381,3382,2999,0.9,97.8,0.1,0,0.3,0,20.1
Mercer,KY,21378,10652,10726,2.7,91.2,4.1,0.1,0.7,0,16.7
Metcalfe,KY,9990,4930,5060,1.5,95.1,0.7,0.2,0.5,0,23.1
Monroe,KY,10645,5322,5323,3,93.6,2.5,0,0.2,0.1,23.5
Montgomery,KY,27550,13645,13905,2.7,93,2.8,0.3,0,0.1,23
Morgan,KY,13281,7397,5884,1.2,93.2,3.3,0.1,0.7,0,25.6
Muhlenberg,KY,31153,15763,15390,1.5,92.1,4.9,0.2,0.2,0,20.5
Nelson,KY,45131,22276,22855,2.1,90.6,5.3,0.1,0.4,0,11.4
Nicholas,KY,7061,3362,3699,1.5,96,1.1,0.2,0,0,27.8
Ohio,KY,24062,11957,12105,3.4,94.4,0.9,0,0.3,0,21.3
Oldham,KY,64633,33876,30757,3.8,88.5,3.6,0.2,1.4,0.1,5.6
Owen,KY,10686,5239,5447,2.6,94.9,1.8,0.3,0,0.1,16.7
Owsley,KY,4497,1955,2542,0.5,94.2,4.1,0.3,0,0,33
Pendleton,KY,14530,7307,7223,0.6,96.6,0.9,0.1,0.4,0,15.1
Perry,KY,27329,13516,13813,1,95.6,1.6,0.1,0.9,0.1,26.2
Pike,KY,61586,30063,31523,0.9,97,0.8,0.1,0.5,0,26.4
Powell,KY,12349,6075,6274,1.6,96.3,0.3,0,1,0.1,24.1
Pulaski,KY,63974,31404,32570,2.4,94.2,0.9,0.2,0.7,0,25.2
Robertson,KY,2161,1098,1063,2.2,94.6,1.9,0,0,0,30.4
Rockcastle,KY,16815,8168,8647,0.8,97.5,0.2,1,0.1,0,21
Rowan,KY,24392,11727,12665,2,94.5,1.4,0.1,0.7,0,26.7
Russell,KY,17731,8630,9101,3.6,94,0.5,0.2,0.5,0.6,25.3
Scott,KY,52322,25858,26464,4.3,87.2,4.7,0.2,0.9,0,11.5
Shelby,KY,45831,22151,23680,9.1,80.4,6.8,0,0.8,0,12.4
Simpson,KY,17881,8883,8998,2.2,85.5,9.5,1,0.8,0,17.4
Spencer,KY,18012,9193,8819,2,94.4,1,0,1,0,8.7
Taylor,KY,25406,12381,13025,2.3,89.8,4.7,0,0.9,0,23.1
Todd,KY,12377,6194,6183,3.8,86,7.8,0.1,0.1,0,20.1
Trigg,KY,14286,7053,7233,2,88.3,8.8,0,0.4,0,15.8
Trimble,KY,8697,4265,4432,2.9,94.5,0,0.3,0.1,0.3,15.2
Union,KY,14915,7760,7155,1.9,82.6,13.1,0.1,0.3,0,22.9
Warren,KY,123824,60616,63208,5.1,79.6,9.2,0.4,3.3,0.2,18
Washington,KY,11999,5873,6126,4.3,87.7,5.2,0,0.8,0,17
Wayne,KY,20692,10320,10372,3.1,93.5,1.4,0.1,0.2,0,23.2
Webster,KY,13180,6502,6678,5.2,88.6,3.9,0.1,0,0,21.4
Whitley,KY,36027,17686,18341,1.2,96.1,1.2,0.3,0.1,0,25.2
Wolfe,KY,7251,3522,3729,0.3,98.2,0.3,0.4,0,0,36.9
Woodford,KY,25817,12356,13461,6.6,86.5,4.4,0,0.3,0,14.5
Acadia,LA,62607,30433,32174,2.4,77.5,17.6,0.1,0.1,0,21.5
Allen,LA,25667,14542,11125,4.9,71.1,19,1.8,0.7,0,16.6
Ascension,LA,119129,58718,60411,5.3,69.4,21.8,0,0.9,0,11.7
Assumption,LA,22881,11085,11796,2.8,65.8,29.7,0.6,0.3,0,15.7
Avoyelles,LA,41095,20693,20402,1.8,65.3,30.1,1.2,0.1,0.1,23.7
Beauregard,LA,36598,18631,17967,3.7,80,12.7,0.6,0.4,0,17.3
Bienville,LA,13806,6692,7114,1.7,54.3,41.5,0.1,0,0,25.3
Bossier,LA,125698,62214,63484,6.5,67.6,21.6,0.5,1.5,0.1,16.4
Caddo,LA,251069,119235,131834,2.8,45.6,48.3,0.4,1.2,0,23.4
Calcasieu,LA,198753,96906,101847,3.2,68.2,24.6,0.3,1.4,0,16.8
Caldwell,LA,10000,5313,4687,3.1,79.1,16.8,0.6,0.2,0,26.2
Cameron,LA,6806,3289,3517,5.5,91.3,2.8,0,0.3,0,8.7
Catahoula,LA,10044,5359,4685,1.5,66,31.9,0.1,0.2,0,21.8
Claiborne,LA,16296,9360,6936,1.4,45.6,51.2,0.2,0,0,29.9
Concordia,LA,20211,10319,9892,1.3,56.9,41.1,0.1,0.2,0.1,31.2
De Soto,LA,27164,13154,14010,2.8,58.2,36.7,1.1,0.2,0.1,26.3
East Baton Rouge,LA,446167,214073,232094,4,45.2,45.6,0.1,3.4,0,19.1
East Carroll,LA,7318,4409,2909,0.5,27.3,71.6,0,0,0,48.2
East Feliciana,LA,19553,10667,8886,1.5,52.9,44.4,0.3,0.2,0,17.9
Evangeline,LA,33750,17232,16518,3.4,67,27.4,0.1,0.4,0,26.4
Franklin,LA,20388,9991,10397,0.2,65.3,33.4,0,0,0,28.8
Grant,LA,22305,12669,9636,4.9,76.6,15.2,1.3,0.2,0,20.2
Iberia,LA,73346,35791,37555,4,59.2,31.4,0.1,2.8,0,20.4
Iberville,LA,33122,16772,16350,2.5,47.7,48.7,0.3,0.1,0,19.3
Jackson,LA,15952,8086,7866,1.6,66.9,30.1,0.1,0.5,0,25.4
Jefferson,LA,437038,212326,224712,14.3,53.4,26.1,0.3,4.2,0,16.3
Jefferson Davis,LA,31405,15431,15974,2.3,78.6,16.3,0.7,0.4,0,19.6
Lafayette,LA,238230,116361,121869,4.6,66.1,25.6,0.2,1.8,0,16.6
Lafourche,LA,98112,48235,49877,4.4,76.9,13,2.4,0.8,0,16
LaSalle,LA,14930,7691,7239,2.8,82.9,12,1.3,0,0.1,24.8
Lincoln,LA,47536,23206,24330,2.9,53.2,40.4,0.2,1.8,0,31.2
Livingston,LA,137096,67159,69937,3.5,88.4,5.9,0.2,0.5,0,13.2
Madison,LA,11616,5786,5830,2,34.1,63.5,0.1,0,0,36.4
Morehouse,LA,26290,12505,13785,1.3,49.5,47.9,0.1,0.4,0,27.6
Natchitoches,LA,39051,18610,20441,2.2,52.7,40.9,1.1,0.7,0,31.9
Orleans,LA,388182,185063,203119,5.5,30.6,59.1,0.1,2.9,0,25.4
Ouachita,LA,156433,75019,81414,2.2,58.3,37.4,0.2,1,0,24.5
Plaquemines,LA,23394,11393,12001,6.7,65.2,20.6,0.8,3.3,0,19.3
Pointe Coupee,LA,22271,10692,11579,2.5,60.4,35.4,0.3,0.2,0,17.5
Rapides,LA,132080,63888,68192,3,61.4,31.9,0.6,1.6,0,19.5
Red River,LA,8723,4192,4531,1.9,57,37.5,0.4,0,0,20.4
Richland,LA,20619,10028,10591,2.1,60.5,35.8,0,0.5,0,28.2
Sabine,LA,24145,11997,12148,3.8,68.1,16.5,7.5,0.4,0,19.6
St. Bernard,LA,45067,22256,22811,9.9,63.5,22,0.3,2.3,0,19.7
St. Charles,LA,52728,25901,26827,5.8,65.5,26.4,0.3,1.1,0,12.2
St. Helena,LA,10509,5093,5416,0.2,44.1,54,0.8,0.2,0,26.4
St. James,LA,21485,10340,11145,1.6,48,49.6,0,0.2,0,15.6
St. John the Baptist,LA,43565,21285,22280,5.8,36.4,55.4,0,0.9,0,17.9
St. Landry,LA,83580,40144,43436,2,54.6,41,0.1,0.3,0,27.9
St. Martin,LA,53609,26445,27164,2.8,64.4,29.3,0.4,1,0,17.7
St. Mary,LA,52578,26153,26425,6.8,56.1,30.9,1.1,1.4,0,19.5
St. Tammany,LA,249201,121268,127933,5.4,79.1,11.6,0.5,1.5,0,10.8
Tangipahoa,LA,128850,62548,66302,4.1,63.5,29.4,0.3,0.7,0,21.9
Tensas,LA,4771,2322,2449,1.8,42.3,55.4,0,0.1,0,38
Terrebonne,LA,113067,55794,57273,5,67.1,19.2,5.4,0.9,0.1,20.1
Union,LA,22537,11212,11325,4.7,68.6,25.3,0.1,0.1,0.1,22
Vermilion,LA,59841,29021,30820,3.3,78.4,14.2,0.5,2.2,0,17.9
Vernon,LA,51906,27614,24292,9.4,70.1,14.1,1.4,1.7,0.4,16.9
Washington,LA,46449,22944,23505,2.1,65.8,30.1,0.3,0.2,0,26.3
Webster,LA,40043,19435,20608,1.8,62.2,34.2,0.3,0.3,0.1,24.9
West Baton Rouge,LA,25518,12631,12887,3,56.8,38.5,0.3,0.3,0,17.9
West Carroll,LA,11274,5696,5578,3.2,79.6,15.9,0.2,0,0.1,22
West Feliciana,LA,15376,10210,5166,1.5,52.1,44.9,0.2,0.5,0,12.5
Winn,LA,14631,7712,6919,1.9,65.2,31.2,0.5,0,0,27.3
Barnstable,MA,213900,102152,111748,2.7,90.2,2.7,0.4,1.5,0.1,7.5
Berkshire,MA,127751,61741,66010,4.3,89,2.6,0.2,1.6,0,11.3
Bristol,MA,557016,269719,287297,7.3,82.8,3.5,0,2.2,0,12.2
Dukes,MA,17275,8282,8993,1.6,87,3.7,1.6,0.3,0,8.4
Essex,MA,775860,373886,401974,19.6,72,3.1,0.1,3.4,0,10.9
Franklin,MA,70926,34663,36263,3.8,91.2,1.2,0.2,1.5,0.1,10.9
Hampden,MA,469188,226391,242797,23.9,64.1,7.8,0.1,2.2,0,17.2
Hampshire,MA,161197,75492,85705,5.4,84.2,2.8,0.1,5.3,0,13.8
Middlesex,MA,1582857,773112,809745,7.7,73.3,4.8,0.1,11.2,0,8.2
Nantucket,MA,10912,5804,5108,8.6,73.8,8,0.6,2.4,0.1,11.2
Norfolk,MA,694389,333237,361152,4.2,76.7,6.3,0.1,10.3,0,6.5
Plymouth,MA,509114,247788,261326,3.7,81.9,8.8,0.1,1.2,0,8
Suffolk,MA,780685,377572,403113,22.3,45.5,20.2,0.2,8.6,0,19.6
Worcester,MA,818249,403587,414662,10.8,77.9,4.3,0.2,4.7,0,11.1
Allegany,MD,72591,37892,34699,1.7,87.3,8,0.2,0.8,0,16.8
Anne Arundel,MD,564600,279581,285019,7.3,69.6,15.9,0.1,3.6,0.1,6.1
Baltimore,MD,828637,392930,435707,5.1,58.7,27.5,0.2,5.9,0,9.1
Baltimore city,MD,619796,291377,328419,5,27.6,62.3,0.2,2.6,0,22.4
Calvert,MD,90824,45184,45640,3.6,78.8,11.7,0.2,1.6,0,5.7
Caroline,MD,32785,15971,16814,6.9,76.3,13.2,0.1,0.6,0,16.5
Carroll,MD,167319,82784,84535,3.2,89.8,3.3,0.2,1.7,0,5.5
Cecil,MD,102416,50878,51538,4.1,85.8,6.4,0.3,1.4,0,9.4
Charles,MD,156021,75368,80653,5.4,43.1,42.8,0.6,3.1,0.1,6.9
Dorchester,MD,32386,15476,16910,5,63.8,26.8,0.1,1,0,15.4
Frederick,MD,246105,121305,124800,8.8,74.8,8.8,0.2,4.5,0.1,7.2
Garrett,MD,29516,14618,14898,1.1,96.6,0.6,0.1,0.4,0,11.4
Harford,MD,250132,122344,127788,4.2,77,13.1,0.2,2.6,0,7.5
Howard,MD,312495,152843,159652,6.5,54.1,18.1,0.2,17.3,0,5.2
Kent,MD,19666,9426,10240,4.3,78.1,14.8,0.2,1.1,0,13.1
Montgomery,MD,1039198,501571,537627,19,45,17.6,0.1,14.7,0,7
Prince George's,MD,905161,435878,469283,17.4,13.3,62.3,0.2,4.3,0,9.3
Queen Anne's,MD,49071,24230,24841,3.7,86.6,7,0,0.5,0,6.4
Somerset,MD,25801,13821,11980,3.5,51.5,41.8,0.4,1,0,22.5
St. Mary's,MD,110979,55420,55559,4.8,75.1,14.2,0.2,2.8,0,8.2
Talbot,MD,37461,17595,19866,6.5,77.6,11.4,0.1,1.4,0.1,10
Washington,MD,149546,75958,73588,4.5,80.4,10,0.1,1.7,0,12.8
Wicomico,MD,102014,48622,53392,5,63.9,25.1,0.2,3.2,0.1,15.9
Worcester,MD,51559,25205,26354,3.4,80,13.4,0.2,1.3,0.1,10.3
Androscoggin,ME,107317,52550,54767,1.8,91.1,1.6,0.2,0.8,0,14.3
Aroostook,ME,68840,34006,34834,1.1,94.5,0.9,1.7,0.4,0,17.5
Cumberland,ME,289173,140510,148663,2,90.7,2.8,0.2,2.1,0,10.7
Franklin,ME,30177,14739,15438,1.3,95.8,0.3,0.4,0.5,0.1,12.4
Hancock,ME,54468,26394,28074,1.3,95.1,0.8,0.4,1,0.1,11.6
Kennebec,ME,121289,59175,62114,1.5,94.9,0.8,0.6,0.9,0,14.1
Knox,ME,39700,19601,20099,1.3,95.6,0.6,0.4,0.6,0,11.6
Lincoln,ME,34021,16599,17422,1.1,96.2,0.3,0.5,0.9,0,11.8
Oxford,ME,57230,28290,28940,1.2,95.6,0.3,0.3,0.6,0,15.2
Penobscot,ME,152284,75404,76880,1.3,94,0.8,1,1,0,15.9
Piscataquis,ME,16960,8452,8508,1.4,95.4,0.4,0.7,0.6,0,18.7
Sagadahoc,ME,35149,16942,18207,1.6,94.9,0.7,0.1,0.6,0,11.3
Somerset,ME,50994,25180,25814,1,96,0.4,0.4,0.3,0,17.8
Waldo,ME,39280,19269,20011,1.2,95.8,0.5,0.3,0.4,0,14.3
Washington,ME,31822,15714,16108,1.9,90.1,0.4,4.7,0.5,0,18.2
York,ME,201454,98215,103239,1.6,94.6,0.8,0.4,1.2,0,8.5
Alcona,MI,10413,5247,5166,1.4,96,0.3,0.5,0.4,0,14.9
Alger,MI,9254,5088,4166,1.4,84.2,7.2,3.3,0.1,0,13
Allegan,MI,114145,56997,57148,7.2,88.7,1.3,0.5,0.6,0,10.8
Alpena,MI,28730,14169,14561,1.3,96,0.5,0.4,0.4,0.1,15
Antrim,MI,23133,11479,11654,2.1,95,0.3,0.8,0.3,0,12.6
Arenac,MI,15238,7714,7524,2,94.9,0.5,1.3,0.4,0,18.5
Baraga,MI,8580,5112,3468,1.5,73.1,15.8,4.7,0.5,0,14.4
Barry,MI,59607,29958,29649,2.7,94.6,0.4,0.2,0.5,0,9.3
Bay,MI,105350,51875,53475,5.2,90.4,1.5,0.2,0.6,0,16.3
Benzie,MI,17462,8694,8768,2.4,93.9,0.3,1.4,0.4,0,10
Berrien,MI,154948,75835,79113,5.2,75.1,14.6,0.3,1.9,0,17.2
Branch,MI,43543,22517,21026,4.5,90.9,2.3,0.3,0.5,0,15.9
Calhoun,MI,134327,65652,68675,5,78.3,10.6,0.6,2.1,0,17.4
Cass,MI,51397,25861,25536,3.7,86.4,4.8,1.1,0.8,0,13.6
Charlevoix,MI,26160,12868,13292,1.8,94,0.4,1.2,0.4,0.1,11.6
Cheboygan,MI,25475,12680,12795,1.3,92.2,0.8,2,0.4,0,16.8
Chippewa,MI,38023,20948,17075,1.8,70.1,6.4,13.9,1,0.1,17.1
Clare,MI,30597,15148,15449,1.9,95.1,0.5,0.5,0.3,0,23.6
Clinton,MI,77321,38231,39090,4.4,90.2,1.7,0.1,1.5,0,10.1
Crawford,MI,13821,6953,6868,1.8,95,0.7,0.5,0.6,0.1,16.4
Delta,MI,36395,18084,18311,1.2,93.2,0.3,1.8,0.4,0,14.4
Dickinson,MI,25694,12819,12875,1.4,95.6,0.6,0.8,0.6,0,15.2
Eaton,MI,108586,53065,55521,5.2,83.4,6.5,0.5,2.1,0,10.9
Emmet,MI,32978,16359,16619,1.6,91.4,0.5,2.2,0.6,0.1,10.7
Genesee,MI,410881,198115,212766,3.3,72.5,19.8,0.4,1,0,20
Gladwin,MI,25324,12719,12605,1.5,96.2,0.4,0.5,0.5,0,20.2
Gogebic,MI,15577,8445,7132,1.3,89.6,4.2,2.7,0.3,0.1,20.4
Grand Traverse,MI,91222,44860,46362,2.7,92.6,1.1,0.9,0.6,0.1,9.7
Gratiot,MI,41319,21937,19382,5.8,86.5,5.6,0.2,0.3,0,20.5
Hillsdale,MI,45909,22902,23007,2.2,95.1,0.7,0.4,0.4,0,17
Houghton,MI,36333,19713,16620,1.5,92.4,0.7,0.3,2.9,0,21.4
Huron,MI,31750,15777,15973,2.3,95.5,0.4,0.3,0.6,0,13.6
Ingham,MI,286185,139183,147002,7.6,70.6,10.6,0.3,6,0,20.9
Ionia,MI,64147,34130,30017,4.7,88.3,4.7,0.2,0.4,0,13.1
Iosco,MI,25317,12570,12747,2,94.3,0.7,0.8,0.6,0,16.9
Iron,MI,11291,5576,5715,1.8,95,0.7,1.2,0.5,0,14.2
Isabella,MI,70572,34338,36234,3.8,85.8,2.5,2.5,1.6,0,27.3
Jackson,MI,158989,81200,77789,3.4,85,8.2,0.3,0.7,0,15.2
Kalamazoo,MI,259830,127247,132583,4.7,78,10.6,0.2,2.4,0,16.7
Kalkaska,MI,17358,8874,8484,1.8,94.7,0.7,0.6,0.4,0,18.5
Kent,MI,636376,313134,323242,10.3,74.4,9.3,0.3,2.8,0,13.4
Keweenaw,MI,2136,1099,1037,0.7,97.5,1.5,0.2,0.1,0,14.5
Lake,MI,11669,5965,5704,2.6,84.8,7.6,0.7,0.2,0,25
Lapeer,MI,88205,44663,43542,4.6,92,1.3,0.3,0.5,0,9.7
Leelanau,MI,21564,10681,10883,4.2,90.2,0.5,2.5,0.7,0,7.7
Lenawee,MI,98585,49929,48656,7.8,87,2.4,0.3,0.3,0.1,13.7
Livingston,MI,186946,93729,93217,2.3,94.6,0.6,0.2,0.9,0.1,5.9
Luce,MI,6406,3753,2653,3.2,78.2,6.4,6.3,0.2,0,19.4
Mackinac,MI,10836,5474,5362,1.6,73.8,2.3,16.9,0.6,0,15.4
Macomb,MI,864019,420439,443580,2.5,80.2,10.9,0.2,3.7,0,11.8
Manistee,MI,24432,12697,11735,2.9,89.4,2.8,1.6,0.4,0,14.7
Marquette,MI,67145,33898,33247,1.4,92.4,1.6,0.8,0.9,0,16.4
Mason,MI,28800,14284,14516,4.5,91.7,0.9,0.8,0.5,0,16
Mecosta,MI,43181,21802,21379,2.1,91.5,2.5,0.4,0.7,0,22.5
Menominee,MI,23389,11834,11555,1.7,93.3,0.3,2.3,0.4,0,13.5
Midland,MI,83489,40954,42535,2.6,91.7,1.4,0.4,2.2,0.1,11.3
Missaukee,MI,14982,7634,7348,2.7,94.4,0.4,0.6,0.2,0,15.9
Monroe,MI,149619,73905,75714,3.5,91.5,2.3,0.3,0.6,0,11.2
Montcalm,MI,62956,32441,30515,3.4,92,2,0.5,0.5,0.1,17.5
Montmorency,MI,9290,4711,4579,1.3,96.2,0.2,0.8,0,0,15.1
Muskegon,MI,172707,85918,86789,5.4,76.5,13.5,0.5,0.5,0,18.5
Newaygo,MI,47899,24036,23863,5.8,90.7,1.3,0.6,0.3,0,17.8
Oakland,MI,1241860,605231,636629,3.9,72.9,13.6,0.2,6.8,0,9
Oceana,MI,26317,13323,12994,14.5,82.2,1.2,0.8,0.2,0,17.5
Ogemaw,MI,20979,10518,10461,2,95,0.3,1.2,0.6,0,18.7
Ontonagon,MI,6072,3104,2968,1.4,95.2,0.3,1,0.1,0.1,15.5
Osceola,MI,23221,11725,11496,1.7,94.9,1,0.8,0.3,0,20.7
Oscoda,MI,8304,4266,4038,1.4,95.7,0.6,0.5,0.1,0.1,18.1
Otsego,MI,24247,11951,12296,1.6,94.7,0.4,0.5,0.5,0,14.9
Ottawa,MI,280243,138250,141993,9.4,84.3,1.4,0.3,2.7,0,9.5
Presque Isle,MI,12854,6419,6435,1.2,95.8,0.5,0.4,0.4,0,14.9
Roscommon,MI,23934,11867,12067,1.6,95.3,0.3,0.9,0.2,0,19.8
Saginaw,MI,193803,94017,99786,8.3,69.7,18.1,0.2,1.2,0,17.7
