year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2020,SOUTH CAROLINA,SC,HAMPTON,JOSEPH R BIDEN JR,DEMOCRAT,1345,9305,0.144545943
2020,SOUTH CAROLINA,SC,HAMPTON,JOSEPH R BIDEN JR,DEMOCRAT,1961,9305,0.21074691
2020,SOUTH CAROLINA,SC,HAMPTON,JOSEPH R BIDEN JR,DEMOCRAT,2002,9305,0.215153143
2016,SOUTH CAROLINA,SC,HORRY,DONALD TRUMP,REPUBLICAN,89288,132920,0.671742401
2016,SOUTH CAROLINA,SC,HORRY,HILLARY CLINTON,DEMOCRAT,39410,132920,0.296494132
2020,SOUTH CAROLINA,SC,HORRY,DONALD J TRUMP,REPUBLICAN,10,179744,5.56347E-05
2020,SOUTH CAROLINA,SC,HORRY,DONALD J TRUMP,REPUBLICAN,93,179744,0.000517403
2020,SOUTH CAROLINA,SC,HORRY,DONALD J TRUMP,REPUBLICAN,269,179744,0.001496573
2020,SOUTH CAROLINA,SC,HORRY,DONALD J TRUMP,REPUBLICAN,14328,179744,0.07971337
2020,SOUTH CAROLINA,SC,HORRY,DONALD J TRUMP,REPUBLICAN,44470,179744,0.247407424
2020,SOUTH CAROLINA,SC,HORRY,DONALD J TRUMP,REPUBLICAN,59651,179744,0.331866432
2020,SOUTH CAROLINA,SC,HORRY,JOSEPH R BIDEN JR,DEMOCRAT,50,179744,0.000278173
2020,SOUTH CAROLINA,SC,HORRY,JOSEPH R BIDEN JR,DEMOCRAT,113,179744,0.000628672
2020,SOUTH CAROLINA,SC,HORRY,JOSEPH R BIDEN JR,DEMOCRAT,18146,179744,0.100954691
2020,SOUTH CAROLINA,SC,HORRY,JOSEPH R BIDEN JR,DEMOCRAT,18177,179744,0.101127159
2020,SOUTH CAROLINA,SC,HORRY,JOSEPH R BIDEN JR,DEMOCRAT,22694,179744,0.126257344
2016,SOUTH CAROLINA,SC,JASPER,DONALD TRUMP,REPUBLICAN,5187,11427,0.453924915
2016,SOUTH CAROLINA,SC,JASPER,HILLARY CLINTON,DEMOCRAT,5956,11427,0.521221668
2020,SOUTH CAROLINA,SC,JASPER,DONALD J TRUMP,REPUBLICAN,2,14394,0.000138947
2020,SOUTH CAROLINA,SC,JASPER,DONALD J TRUMP,REPUBLICAN,11,14394,0.000764207
2020,SOUTH CAROLINA,SC,JASPER,DONALD J TRUMP,REPUBLICAN,963,14394,0.066902876
2020,SOUTH CAROLINA,SC,JASPER,DONALD J TRUMP,REPUBLICAN,2182,14394,0.151590941
2020,SOUTH CAROLINA,SC,JASPER,DONALD J TRUMP,REPUBLICAN,3920,14394,0.272335695
2020,SOUTH CAROLINA,SC,JASPER,JOSEPH R BIDEN JR,DEMOCRAT,5,14394,0.000347367
2020,SOUTH CAROLINA,SC,JASPER,JOSEPH R BIDEN JR,DEMOCRAT,17,14394,0.001181048
2020,SOUTH CAROLINA,SC,JASPER,JOSEPH R BIDEN JR,DEMOCRAT,1668,14394,0.115881617
2020,SOUTH CAROLINA,SC,JASPER,JOSEPH R BIDEN JR,DEMOCRAT,2714,14394,0.188550785
2020,SOUTH CAROLINA,SC,JASPER,JOSEPH R BIDEN JR,DEMOCRAT,2781,14394,0.193205502
2016,SOUTH CAROLINA,SC,KERSHAW,DONALD TRUMP,REPUBLICAN,17542,28995,0.605000862
2016,SOUTH CAROLINA,SC,KERSHAW,HILLARY CLINTON,DEMOCRAT,10330,28995,0.356268322
2020,SOUTH CAROLINA,SC,KERSHAW,DONALD J TRUMP,REPUBLICAN,5,33629,0.000148681
2020,SOUTH CAROLINA,SC,KERSHAW,DONALD J TRUMP,REPUBLICAN,8,33629,0.00023789
2020,SOUTH CAROLINA,SC,KERSHAW,DONALD J TRUMP,REPUBLICAN,1691,33629,0.050283981
2020,SOUTH CAROLINA,SC,KERSHAW,DONALD J TRUMP,REPUBLICAN,7664,33629,0.22789854
2020,SOUTH CAROLINA,SC,KERSHAW,DONALD J TRUMP,REPUBLICAN,11103,33629,0.330161468
2020,SOUTH CAROLINA,SC,KERSHAW,JOSEPH R BIDEN JR,DEMOCRAT,2,33629,5.94725E-05
2020,SOUTH CAROLINA,SC,KERSHAW,JOSEPH R BIDEN JR,DEMOCRAT,4,33629,0.000118945
2020,SOUTH CAROLINA,SC,KERSHAW,JOSEPH R BIDEN JR,DEMOCRAT,2521,33629,0.07496506
2020,SOUTH CAROLINA,SC,KERSHAW,JOSEPH R BIDEN JR,DEMOCRAT,3868,33629,0.115019775
2020,SOUTH CAROLINA,SC,KERSHAW,JOSEPH R BIDEN JR,DEMOCRAT,6304,33629,0.187457254
2016,SOUTH CAROLINA,SC,LANCASTER,DONALD TRUMP,REPUBLICAN,23719,38938,0.609147876
2016,SOUTH CAROLINA,SC,LANCASTER,HILLARY CLINTON,DEMOCRAT,13812,38938,0.354717756
2020,SOUTH CAROLINA,SC,LANCASTER,DONALD J TRUMP,REPUBLICAN,16,49868,0.000320847
2020,SOUTH CAROLINA,SC,LANCASTER,DONALD J TRUMP,REPUBLICAN,46,49868,0.000922435
2020,SOUTH CAROLINA,SC,LANCASTER,DONALD J TRUMP,REPUBLICAN,117,49868,0.002346194
2020,SOUTH CAROLINA,SC,LANCASTER,DONALD J TRUMP,REPUBLICAN,2742,49868,0.054985161
2020,SOUTH CAROLINA,SC,LANCASTER,DONALD J TRUMP,REPUBLICAN,11984,49868,0.24031443
2020,SOUTH CAROLINA,SC,LANCASTER,DONALD J TRUMP,REPUBLICAN,15407,49868,0.308955643
2020,SOUTH CAROLINA,SC,LANCASTER,JOSEPH R BIDEN JR,DEMOCRAT,11,49868,0.000220582
2020,SOUTH CAROLINA,SC,LANCASTER,JOSEPH R BIDEN JR,DEMOCRAT,28,49868,0.000561482
2020,SOUTH CAROLINA,SC,LANCASTER,JOSEPH R BIDEN JR,DEMOCRAT,79,49868,0.001584182
2020,SOUTH CAROLINA,SC,LANCASTER,JOSEPH R BIDEN JR,DEMOCRAT,4187,49868,0.083961659
2020,SOUTH CAROLINA,SC,LANCASTER,JOSEPH R BIDEN JR,DEMOCRAT,5949,49868,0.119294939
2020,SOUTH CAROLINA,SC,LANCASTER,JOSEPH R BIDEN JR,DEMOCRAT,8683,49868,0.174119676
2016,SOUTH CAROLINA,SC,LAURENS,DONALD TRUMP,REPUBLICAN,16816,26566,0.632989535
2016,SOUTH CAROLINA,SC,LAURENS,HILLARY CLINTON,DEMOCRAT,8889,26566,0.334600617
2020,SOUTH CAROLINA,SC,LAURENS,DONALD J TRUMP,REPUBLICAN,13,30488,0.000426397
2020,SOUTH CAROLINA,SC,LAURENS,DONALD J TRUMP,REPUBLICAN,22,30488,0.000721595
2020,SOUTH CAROLINA,SC,LAURENS,DONALD J TRUMP,REPUBLICAN,22,30488,0.000721595
2020,SOUTH CAROLINA,SC,LAURENS,DONALD J TRUMP,REPUBLICAN,1044,30488,0.034242981
2020,SOUTH CAROLINA,SC,LAURENS,DONALD J TRUMP,REPUBLICAN,4391,30488,0.144023878
2020,SOUTH CAROLINA,SC,LAURENS,DONALD J TRUMP,REPUBLICAN,14512,30488,0.475990554
2020,SOUTH CAROLINA,SC,LAURENS,JOSEPH R BIDEN JR,DEMOCRAT,7,30488,0.000229599
2020,SOUTH CAROLINA,SC,LAURENS,JOSEPH R BIDEN JR,DEMOCRAT,11,30488,0.000360798
2020,SOUTH CAROLINA,SC,LAURENS,JOSEPH R BIDEN JR,DEMOCRAT,15,30488,0.000491997
2020,SOUTH CAROLINA,SC,LAURENS,JOSEPH R BIDEN JR,DEMOCRAT,1414,30488,0.046378903
2020,SOUTH CAROLINA,SC,LAURENS,JOSEPH R BIDEN JR,DEMOCRAT,3783,30488,0.124081606
2020,SOUTH CAROLINA,SC,LAURENS,JOSEPH R BIDEN JR,DEMOCRAT,4929,30488,0.161670165
2016,SOUTH CAROLINA,SC,LEE,DONALD TRUMP,REPUBLICAN,2803,8156,0.343673369
2016,SOUTH CAROLINA,SC,LEE,HILLARY CLINTON,DEMOCRAT,5199,8156,0.637444826
2020,SOUTH CAROLINA,SC,LEE,DONALD J TRUMP,REPUBLICAN,204,8431,0.024196418
2020,SOUTH CAROLINA,SC,LEE,DONALD J TRUMP,REPUBLICAN,972,8431,0.115288815
2020,SOUTH CAROLINA,SC,LEE,DONALD J TRUMP,REPUBLICAN,1832,8431,0.217293322
2020,SOUTH CAROLINA,SC,LEE,JOSEPH R BIDEN JR,DEMOCRAT,581,8431,0.068912347
2020,SOUTH CAROLINA,SC,LEE,JOSEPH R BIDEN JR,DEMOCRAT,2095,8431,0.248487724
2020,SOUTH CAROLINA,SC,LEE,JOSEPH R BIDEN JR,DEMOCRAT,2653,8431,0.314672044
2016,SOUTH CAROLINA,SC,LEXINGTON,DONALD TRUMP,REPUBLICAN,80026,122093,0.655451172
2016,SOUTH CAROLINA,SC,LEXINGTON,HILLARY CLINTON,DEMOCRAT,35230,122093,0.288550531
2020,SOUTH CAROLINA,SC,LEXINGTON,DONALD J TRUMP,REPUBLICAN,52,144568,0.000359692
2020,SOUTH CAROLINA,SC,LEXINGTON,DONALD J TRUMP,REPUBLICAN,86,144568,0.000594876
2020,SOUTH CAROLINA,SC,LEXINGTON,DONALD J TRUMP,REPUBLICAN,168,144568,0.001162083
2020,SOUTH CAROLINA,SC,LEXINGTON,DONALD J TRUMP,REPUBLICAN,12723,144568,0.088007028
2020,SOUTH CAROLINA,SC,LEXINGTON,DONALD J TRUMP,REPUBLICAN,18354,144568,0.126957556
2020,SOUTH CAROLINA,SC,LEXINGTON,DONALD J TRUMP,REPUBLICAN,61434,144568,0.424948813
2020,SOUTH CAROLINA,SC,LEXINGTON,JOSEPH R BIDEN JR,DEMOCRAT,24,144568,0.000166012
2020,SOUTH CAROLINA,SC,LEXINGTON,JOSEPH R BIDEN JR,DEMOCRAT,26,144568,0.000179846
2020,SOUTH CAROLINA,SC,LEXINGTON,JOSEPH R BIDEN JR,DEMOCRAT,70,144568,0.000484201
2020,SOUTH CAROLINA,SC,LEXINGTON,JOSEPH R BIDEN JR,DEMOCRAT,12575,144568,0.086983288
2020,SOUTH CAROLINA,SC,LEXINGTON,JOSEPH R BIDEN JR,DEMOCRAT,13942,144568,0.096439046
2020,SOUTH CAROLINA,SC,LEXINGTON,JOSEPH R BIDEN JR,DEMOCRAT,22664,144568,0.156770516
2016,SOUTH CAROLINA,SC,MCCORMICK,DONALD TRUMP,REPUBLICAN,2652,5216,0.508435583
2016,SOUTH CAROLINA,SC,MCCORMICK,HILLARY CLINTON,DEMOCRAT,2479,5216,0.475268405
2020,SOUTH CAROLINA,SC,MCCORMICK,DONALD J TRUMP,REPUBLICAN,269,5697,0.047217834
2020,SOUTH CAROLINA,SC,MCCORMICK,DONALD J TRUMP,REPUBLICAN,1180,5697,0.207126558
2020,SOUTH CAROLINA,SC,MCCORMICK,DONALD J TRUMP,REPUBLICAN,1509,5697,0.264876251
2020,SOUTH CAROLINA,SC,MCCORMICK,JOSEPH R BIDEN JR,DEMOCRAT,2,5697,0.000351062
2020,SOUTH CAROLINA,SC,MCCORMICK,JOSEPH R BIDEN JR,DEMOCRAT,4,5697,0.000702124
2020,SOUTH CAROLINA,SC,MCCORMICK,JOSEPH R BIDEN JR,DEMOCRAT,584,5697,0.102510093
2020,SOUTH CAROLINA,SC,MCCORMICK,JOSEPH R BIDEN JR,DEMOCRAT,645,5697,0.113217483
2020,SOUTH CAROLINA,SC,MCCORMICK,JOSEPH R BIDEN JR,DEMOCRAT,1452,5697,0.254870985
2016,SOUTH CAROLINA,SC,MARION,DONALD TRUMP,REPUBLICAN,5444,14276,0.381339311
2016,SOUTH CAROLINA,SC,MARION,HILLARY CLINTON,DEMOCRAT,8569,14276,0.600238162
2020,SOUTH CAROLINA,SC,MARION,DONALD J TRUMP,REPUBLICAN,2,14704,0.000136017
2020,SOUTH CAROLINA,SC,MARION,DONALD J TRUMP,REPUBLICAN,15,14704,0.001020131
2020,SOUTH CAROLINA,SC,MARION,DONALD J TRUMP,REPUBLICAN,500,14704,0.034004353
2020,SOUTH CAROLINA,SC,MARION,DONALD J TRUMP,REPUBLICAN,2277,14704,0.154855822
2020,SOUTH CAROLINA,SC,MARION,DONALD J TRUMP,REPUBLICAN,2917,14704,0.198381393
2020,SOUTH CAROLINA,SC,MARION,JOSEPH R BIDEN JR,DEMOCRAT,2,14704,0.000136017
2020,SOUTH CAROLINA,SC,MARION,JOSEPH R BIDEN JR,DEMOCRAT,4,14704,0.000272035
2020,SOUTH CAROLINA,SC,MARION,JOSEPH R BIDEN JR,DEMOCRAT,24,14704,0.001632209
2020,SOUTH CAROLINA,SC,MARION,JOSEPH R BIDEN JR,DEMOCRAT,1829,14704,0.124387922
2020,SOUTH CAROLINA,SC,MARION,JOSEPH R BIDEN JR,DEMOCRAT,2887,14704,0.196341132
2020,SOUTH CAROLINA,SC,MARION,JOSEPH R BIDEN JR,DEMOCRAT,4126,14704,0.280603917
2016,SOUTH CAROLINA,SC,MARLBORO,DONALD TRUMP,REPUBLICAN,4267,10389,0.41072288
2016,SOUTH CAROLINA,SC,MARLBORO,HILLARY CLINTON,DEMOCRAT,5954,10389,0.57310617
2020,SOUTH CAROLINA,SC,MARLBORO,DONALD J TRUMP,REPUBLICAN,14,11446,0.001223135
2020,SOUTH CAROLINA,SC,MARLBORO,DONALD J TRUMP,REPUBLICAN,17,11446,0.001485235
2020,SOUTH CAROLINA,SC,MARLBORO,DONALD J TRUMP,REPUBLICAN,389,11446,0.033985672
2020,SOUTH CAROLINA,SC,MARLBORO,DONALD J TRUMP,REPUBLICAN,2189,11446,0.19124585
2020,SOUTH CAROLINA,SC,MARLBORO,DONALD J TRUMP,REPUBLICAN,2435,11446,0.212738074
2020,SOUTH CAROLINA,SC,MARLBORO,JOSEPH R BIDEN JR,DEMOCRAT,5,11446,0.000436834
2020,SOUTH CAROLINA,SC,MARLBORO,JOSEPH R BIDEN JR,DEMOCRAT,13,11446,0.001135768
2020,SOUTH CAROLINA,SC,MARLBORO,JOSEPH R BIDEN JR,DEMOCRAT,999,11446,0.087279399
2020,SOUTH CAROLINA,SC,MARLBORO,JOSEPH R BIDEN JR,DEMOCRAT,1433,11446,0.125196575
2020,SOUTH CAROLINA,SC,MARLBORO,JOSEPH R BIDEN JR,DEMOCRAT,3840,11446,0.33548838
2016,SOUTH CAROLINA,SC,NEWBERRY,DONALD TRUMP,REPUBLICAN,10017,16807,0.596001666
2016,SOUTH CAROLINA,SC,NEWBERRY,HILLARY CLINTON,DEMOCRAT,6217,16807,0.369905397
2020,SOUTH CAROLINA,SC,NEWBERRY,DONALD J TRUMP,REPUBLICAN,1,18631,5.3674E-05
2020,SOUTH CAROLINA,SC,NEWBERRY,DONALD J TRUMP,REPUBLICAN,4,18631,0.000214696
2020,SOUTH CAROLINA,SC,NEWBERRY,DONALD J TRUMP,REPUBLICAN,13,18631,0.000697762
2020,SOUTH CAROLINA,SC,NEWBERRY,DONALD J TRUMP,REPUBLICAN,910,18631,0.048843326
2020,SOUTH CAROLINA,SC,NEWBERRY,DONALD J TRUMP,REPUBLICAN,4144,18631,0.222424991
2020,SOUTH CAROLINA,SC,NEWBERRY,DONALD J TRUMP,REPUBLICAN,6371,18631,0.341956953
2020,SOUTH CAROLINA,SC,NEWBERRY,JOSEPH R BIDEN JR,DEMOCRAT,3,18631,0.000161022
2020,SOUTH CAROLINA,SC,NEWBERRY,JOSEPH R BIDEN JR,DEMOCRAT,23,18631,0.001234502
2020,SOUTH CAROLINA,SC,NEWBERRY,JOSEPH R BIDEN JR,DEMOCRAT,1026,18631,0.055069508
2020,SOUTH CAROLINA,SC,NEWBERRY,JOSEPH R BIDEN JR,DEMOCRAT,2803,18631,0.150448178
2020,SOUTH CAROLINA,SC,NEWBERRY,JOSEPH R BIDEN JR,DEMOCRAT,3103,18631,0.166550373
2016,SOUTH CAROLINA,SC,OCONEE,DONALD TRUMP,REPUBLICAN,24178,33635,0.718834547
2016,SOUTH CAROLINA,SC,OCONEE,HILLARY CLINTON,DEMOCRAT,7998,33635,0.237788018
2020,SOUTH CAROLINA,SC,OCONEE,DONALD J TRUMP,REPUBLICAN,9,40668,0.000221304
2020,SOUTH CAROLINA,SC,OCONEE,DONALD J TRUMP,REPUBLICAN,21,40668,0.000516377
2020,SOUTH CAROLINA,SC,OCONEE,DONALD J TRUMP,REPUBLICAN,36,40668,0.000885217
2020,SOUTH CAROLINA,SC,OCONEE,DONALD J TRUMP,REPUBLICAN,3462,40668,0.085128356
2020,SOUTH CAROLINA,SC,OCONEE,DONALD J TRUMP,REPUBLICAN,9276,40668,0.228090882
2020,SOUTH CAROLINA,SC,OCONEE,DONALD J TRUMP,REPUBLICAN,16894,40668,0.415412609
2020,SOUTH CAROLINA,SC,OCONEE,JOSEPH R BIDEN JR,DEMOCRAT,3,40668,7.37681E-05
2020,SOUTH CAROLINA,SC,OCONEE,JOSEPH R BIDEN JR,DEMOCRAT,15,40668,0.00036884
2020,SOUTH CAROLINA,SC,OCONEE,JOSEPH R BIDEN JR,DEMOCRAT,3080,40668,0.075735222
2020,SOUTH CAROLINA,SC,OCONEE,JOSEPH R BIDEN JR,DEMOCRAT,3628,40668,0.08921019
2020,SOUTH CAROLINA,SC,OCONEE,JOSEPH R BIDEN JR,DEMOCRAT,3688,40668,0.090685551
2016,SOUTH CAROLINA,SC,ORANGEBURG,DONALD TRUMP,REPUBLICAN,11931,38910,0.306630686
2016,SOUTH CAROLINA,SC,ORANGEBURG,HILLARY CLINTON,DEMOCRAT,26318,38910,0.676381393
2020,SOUTH CAROLINA,SC,ORANGEBURG,DONALD J TRUMP,REPUBLICAN,6,41205,0.000145613
2020,SOUTH CAROLINA,SC,ORANGEBURG,DONALD J TRUMP,REPUBLICAN,10,41205,0.000242689
2020,SOUTH CAROLINA,SC,ORANGEBURG,DONALD J TRUMP,REPUBLICAN,11,41205,0.000266958
2020,SOUTH CAROLINA,SC,ORANGEBURG,DONALD J TRUMP,REPUBLICAN,1547,41205,0.037543987
2020,SOUTH CAROLINA,SC,ORANGEBURG,DONALD J TRUMP,REPUBLICAN,4954,41205,0.120228128
2020,SOUTH CAROLINA,SC,ORANGEBURG,DONALD J TRUMP,REPUBLICAN,7075,41205,0.171702463
2020,SOUTH CAROLINA,SC,ORANGEBURG,JOSEPH R BIDEN JR,DEMOCRAT,9,41205,0.00021842
2020,SOUTH CAROLINA,SC,ORANGEBURG,JOSEPH R BIDEN JR,DEMOCRAT,19,41205,0.000461109
2020,SOUTH CAROLINA,SC,ORANGEBURG,JOSEPH R BIDEN JR,DEMOCRAT,33,41205,0.000800874
2020,SOUTH CAROLINA,SC,ORANGEBURG,JOSEPH R BIDEN JR,DEMOCRAT,6731,41205,0.163353962
2020,SOUTH CAROLINA,SC,ORANGEBURG,JOSEPH R BIDEN JR,DEMOCRAT,8186,41205,0.198665211
2020,SOUTH CAROLINA,SC,ORANGEBURG,JOSEPH R BIDEN JR,DEMOCRAT,12317,41205,0.298920034
2016,SOUTH CAROLINA,SC,PICKENS,DONALD TRUMP,REPUBLICAN,36236,49049,0.738771433
2016,SOUTH CAROLINA,SC,PICKENS,HILLARY CLINTON,DEMOCRAT,10354,49049,0.211095027
2020,SOUTH CAROLINA,SC,PICKENS,DONALD J TRUMP,REPUBLICAN,54,57546,0.00093838
2020,SOUTH CAROLINA,SC,PICKENS,DONALD J TRUMP,REPUBLICAN,94,57546,0.001633476
2020,SOUTH CAROLINA,SC,PICKENS,DONALD J TRUMP,REPUBLICAN,103,57546,0.001789872
2020,SOUTH CAROLINA,SC,PICKENS,DONALD J TRUMP,REPUBLICAN,2760,57546,0.047961631
2020,SOUTH CAROLINA,SC,PICKENS,DONALD J TRUMP,REPUBLICAN,12897,57546,0.224116359
2020,SOUTH CAROLINA,SC,PICKENS,DONALD J TRUMP,REPUBLICAN,26999,57546,0.469172488
2020,SOUTH CAROLINA,SC,PICKENS,JOSEPH R BIDEN JR,DEMOCRAT,7,57546,0.000121642
2020,SOUTH CAROLINA,SC,PICKENS,JOSEPH R BIDEN JR,DEMOCRAT,13,57546,0.000225906
2020,SOUTH CAROLINA,SC,PICKENS,JOSEPH R BIDEN JR,DEMOCRAT,16,57546,0.000278038
2020,SOUTH CAROLINA,SC,PICKENS,JOSEPH R BIDEN JR,DEMOCRAT,2770,57546,0.048135405
2020,SOUTH CAROLINA,SC,PICKENS,JOSEPH R BIDEN JR,DEMOCRAT,5232,57546,0.090918569
2020,SOUTH CAROLINA,SC,PICKENS,JOSEPH R BIDEN JR,DEMOCRAT,5607,57546,0.097435095
2016,SOUTH CAROLINA,SC,RICHLAND,DONALD TRUMP,REPUBLICAN,52469,168722,0.310979007
2016,SOUTH CAROLINA,SC,RICHLAND,HILLARY CLINTON,DEMOCRAT,108000,168722,0.64010621
2020,SOUTH CAROLINA,SC,RICHLAND,DONALD J TRUMP,REPUBLICAN,16,193822,8.255E-05
2020,SOUTH CAROLINA,SC,RICHLAND,DONALD J TRUMP,REPUBLICAN,24,193822,0.000123825
2020,SOUTH CAROLINA,SC,RICHLAND,DONALD J TRUMP,REPUBLICAN,49,193822,0.000252809
2020,SOUTH CAROLINA,SC,RICHLAND,DONALD J TRUMP,REPUBLICAN,12341,193822,0.063671823
2020,SOUTH CAROLINA,SC,RICHLAND,DONALD J TRUMP,REPUBLICAN,22750,193822,0.117375737
2020,SOUTH CAROLINA,SC,RICHLAND,DONALD J TRUMP,REPUBLICAN,23133,193822,0.119351776
2020,SOUTH CAROLINA,SC,RICHLAND,JOSEPH R BIDEN JR,DEMOCRAT,53,193822,0.000273447
2020,SOUTH CAROLINA,SC,RICHLAND,JOSEPH R BIDEN JR,DEMOCRAT,86,193822,0.000443706
2020,SOUTH CAROLINA,SC,RICHLAND,JOSEPH R BIDEN JR,DEMOCRAT,103,193822,0.000531415
2020,SOUTH CAROLINA,SC,RICHLAND,JOSEPH R BIDEN JR,DEMOCRAT,32514,193822,0.167751855
2020,SOUTH CAROLINA,SC,RICHLAND,JOSEPH R BIDEN JR,DEMOCRAT,32842,193822,0.169444129
2020,SOUTH CAROLINA,SC,RICHLAND,JOSEPH R BIDEN JR,DEMOCRAT,66972,193822,0.345533531
2016,SOUTH CAROLINA,SC,SALUDA,DONALD TRUMP,REPUBLICAN,5526,8564,0.645259225
2016,SOUTH CAROLINA,SC,SALUDA,HILLARY CLINTON,DEMOCRAT,2813,8564,0.328468006
2020,SOUTH CAROLINA,SC,SALUDA,DONALD J TRUMP,REPUBLICAN,29,9274,0.003127022
2020,SOUTH CAROLINA,SC,SALUDA,DONALD J TRUMP,REPUBLICAN,321,9274,0.034612896
2020,SOUTH CAROLINA,SC,SALUDA,DONALD J TRUMP,REPUBLICAN,1845,9274,0.198943282
2020,SOUTH CAROLINA,SC,SALUDA,DONALD J TRUMP,REPUBLICAN,4015,9274,0.432930774
2020,SOUTH CAROLINA,SC,SALUDA,JOSEPH R BIDEN JR,DEMOCRAT,14,9274,0.001509597
2020,SOUTH CAROLINA,SC,SALUDA,JOSEPH R BIDEN JR,DEMOCRAT,412,9274,0.044425275
2020,SOUTH CAROLINA,SC,SALUDA,JOSEPH R BIDEN JR,DEMOCRAT,1252,9274,0.135001078
2020,SOUTH CAROLINA,SC,SALUDA,JOSEPH R BIDEN JR,DEMOCRAT,1285,9274,0.138559413
2016,SOUTH CAROLINA,SC,SPARTANBURG,DONALD TRUMP,REPUBLICAN,76277,121090,0.629919894
2016,SOUTH CAROLINA,SC,SPARTANBURG,HILLARY CLINTON,DEMOCRAT,39997,121090,0.330308035
2020,SOUTH CAROLINA,SC,SPARTANBURG,DONALD J TRUMP,REPUBLICAN,117,148655,0.000787057
2020,SOUTH CAROLINA,SC,SPARTANBURG,DONALD J TRUMP,REPUBLICAN,118,148655,0.000793784
2020,SOUTH CAROLINA,SC,SPARTANBURG,DONALD J TRUMP,REPUBLICAN,161,148655,0.001083045
2020,SOUTH CAROLINA,SC,SPARTANBURG,DONALD J TRUMP,REPUBLICAN,9110,148655,0.061282836
2020,SOUTH CAROLINA,SC,SPARTANBURG,DONALD J TRUMP,REPUBLICAN,23277,148655,0.156584037
2020,SOUTH CAROLINA,SC,SPARTANBURG,DONALD J TRUMP,REPUBLICAN,60777,148655,0.408845986
2020,SOUTH CAROLINA,SC,SPARTANBURG,JOSEPH R BIDEN JR,DEMOCRAT,72,148655,0.000484343
2020,SOUTH CAROLINA,SC,SPARTANBURG,JOSEPH R BIDEN JR,DEMOCRAT,75,148655,0.000504524
2020,SOUTH CAROLINA,SC,SPARTANBURG,JOSEPH R BIDEN JR,DEMOCRAT,113,148655,0.000760149
2020,SOUTH CAROLINA,SC,SPARTANBURG,JOSEPH R BIDEN JR,DEMOCRAT,10991,148655,0.073936295
2020,SOUTH CAROLINA,SC,SPARTANBURG,JOSEPH R BIDEN JR,DEMOCRAT,19862,148655,0.133611382
2020,SOUTH CAROLINA,SC,SPARTANBURG,JOSEPH R BIDEN JR,DEMOCRAT,21813,148655,0.14673573
2016,SOUTH CAROLINA,SC,SUMTER,DONALD TRUMP,REPUBLICAN,18745,44086,0.425191671
2016,SOUTH CAROLINA,SC,SUMTER,HILLARY CLINTON,DEMOCRAT,24047,44086,0.545456608
2020,SOUTH CAROLINA,SC,SUMTER,DONALD J TRUMP,REPUBLICAN,19,48920,0.000388389
2020,SOUTH CAROLINA,SC,SUMTER,DONALD J TRUMP,REPUBLICAN,24,48920,0.000490597
2020,SOUTH CAROLINA,SC,SUMTER,DONALD J TRUMP,REPUBLICAN,2283,48920,0.046668029
2020,SOUTH CAROLINA,SC,SUMTER,DONALD J TRUMP,REPUBLICAN,9126,48920,0.186549469
2020,SOUTH CAROLINA,SC,SUMTER,DONALD J TRUMP,REPUBLICAN,9548,48920,0.195175797
2020,SOUTH CAROLINA,SC,SUMTER,JOSEPH R BIDEN JR,DEMOCRAT,21,48920,0.000429272
2020,SOUTH CAROLINA,SC,SUMTER,JOSEPH R BIDEN JR,DEMOCRAT,50,48920,0.001022077
2020,SOUTH CAROLINA,SC,SUMTER,JOSEPH R BIDEN JR,DEMOCRAT,5418,48920,0.110752249
2020,SOUTH CAROLINA,SC,SUMTER,JOSEPH R BIDEN JR,DEMOCRAT,7559,48920,0.15451758
2020,SOUTH CAROLINA,SC,SUMTER,JOSEPH R BIDEN JR,DEMOCRAT,14331,48920,0.29294767
2016,SOUTH CAROLINA,SC,UNION,DONALD TRUMP,REPUBLICAN,7061,12092,0.583939795
2016,SOUTH CAROLINA,SC,UNION,HILLARY CLINTON,DEMOCRAT,4729,12092,0.391085015
2020,SOUTH CAROLINA,SC,UNION,DONALD J TRUMP,REPUBLICAN,1,13257,7.54318E-05
2020,SOUTH CAROLINA,SC,UNION,DONALD J TRUMP,REPUBLICAN,54,13257,0.00407332
2020,SOUTH CAROLINA,SC,UNION,DONALD J TRUMP,REPUBLICAN,248,13257,0.018707098
2020,SOUTH CAROLINA,SC,UNION,DONALD J TRUMP,REPUBLICAN,2807,13257,0.211737195
2020,SOUTH CAROLINA,SC,UNION,DONALD J TRUMP,REPUBLICAN,5073,13257,0.382665761
2020,SOUTH CAROLINA,SC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,1,13257,7.54318E-05
2020,SOUTH CAROLINA,SC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,39,13257,0.002941842
2020,SOUTH CAROLINA,SC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,403,13257,0.030399034
2020,SOUTH CAROLINA,SC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,2127,13257,0.160443539
2020,SOUTH CAROLINA,SC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,2365,13257,0.178396319
