year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2016,ALASKA,AK,DISTRICT 29,HILLARY CLINTON,DEMOCRAT,2101,9394,0.223653396
2020,ALASKA,AK,DISTRICT 29,DONALD J TRUMP,REPUBLICAN,7464,10747,0.694519401
2020,ALASKA,AK,DISTRICT 29,JOSEPH R BIDEN JR,DEMOCRAT,2985,10747,0.277751931
2016,ALASKA,AK,DISTRICT 30,DONALD TRUMP,REPUBLICAN,6194,8950,0.692067039
2016,ALASKA,AK,DISTRICT 30,HILLARY CLINTON,DEMOCRAT,1816,8950,0.202905028
2020,ALASKA,AK,DISTRICT 30,DONALD J TRUMP,REPUBLICAN,7180,10176,0.705581761
2020,ALASKA,AK,DISTRICT 30,JOSEPH R BIDEN JR,DEMOCRAT,2638,10176,0.259237421
2016,ALASKA,AK,DISTRICT 31,DONALD TRUMP,REPUBLICAN,5617,10182,0.551659792
2016,ALASKA,AK,DISTRICT 31,HILLARY CLINTON,DEMOCRAT,3466,10182,0.340404636
2020,ALASKA,AK,DISTRICT 31,DONALD J TRUMP,REPUBLICAN,6971,12410,0.561724416
2020,ALASKA,AK,DISTRICT 31,JOSEPH R BIDEN JR,DEMOCRAT,5037,12410,0.405882353
2016,ALASKA,AK,DISTRICT 32,DONALD TRUMP,REPUBLICAN,3764,7472,0.503747323
2016,ALASKA,AK,DISTRICT 32,HILLARY CLINTON,DEMOCRAT,2701,7472,0.361482869
2020,ALASKA,AK,DISTRICT 32,DONALD J TRUMP,REPUBLICAN,4440,8335,0.532693461
2020,ALASKA,AK,DISTRICT 32,JOSEPH R BIDEN JR,DEMOCRAT,3506,8335,0.420635873
2016,ALASKA,AK,DISTRICT 33,DONALD TRUMP,REPUBLICAN,2732,9934,0.2750151
2016,ALASKA,AK,DISTRICT 33,HILLARY CLINTON,DEMOCRAT,5978,9934,0.601771693
2020,ALASKA,AK,DISTRICT 33,DONALD J TRUMP,REPUBLICAN,3059,10955,0.279233227
2020,ALASKA,AK,DISTRICT 33,JOSEPH R BIDEN JR,DEMOCRAT,7535,10955,0.687813784
2016,ALASKA,AK,DISTRICT 34,DONALD TRUMP,REPUBLICAN,3955,9431,0.41936168
2016,ALASKA,AK,DISTRICT 34,HILLARY CLINTON,DEMOCRAT,4220,9431,0.447460503
2020,ALASKA,AK,DISTRICT 34,DONALD J TRUMP,REPUBLICAN,4543,10729,0.42343182
2020,ALASKA,AK,DISTRICT 34,JOSEPH R BIDEN JR,DEMOCRAT,5763,10729,0.537142325
2016,ALASKA,AK,DISTRICT 35,DONALD TRUMP,REPUBLICAN,4105,9042,0.45399248
2016,ALASKA,AK,DISTRICT 35,HILLARY CLINTON,DEMOCRAT,3749,9042,0.414620659
2020,ALASKA,AK,DISTRICT 35,DONALD J TRUMP,REPUBLICAN,4769,10102,0.472084736
2020,ALASKA,AK,DISTRICT 35,JOSEPH R BIDEN JR,DEMOCRAT,5011,10102,0.496040388
2016,ALASKA,AK,DISTRICT 36,DONALD TRUMP,REPUBLICAN,4460,8264,0.539690223
2016,ALASKA,AK,DISTRICT 36,HILLARY CLINTON,DEMOCRAT,2693,8264,0.325871249
